"id","titol","director","any","pais","animacio","dona","comedia","puntuacio"
"84","The Hunger","Tony Scott","1983","UK","0","0","0","7"
"85","Monty Python & The Holy Grail","Terry Gilliam & Terry Jones","1975","UK","0","0","1","8"
"86","Life Of Brian","Terry Jones","1979","UK","0","0","1","9"
"87","Bacurau","Kleber Mendonça Filho","2019","BRAZIL","0","0","0","8"
"88","A Ghost Story","David Lowery","2017","USA","0","0","0","7"
"89","Marie Antoinette","Sofia Coppola","2006","USA","0","1","0","8"
"90","Magnolia","Paul Thomas Anderson","1999","USA","0","0","0","8"
"91","Annihilation","Alex Garland","2018","USA","0","0","0","8"
"92","Mad Max","George Miller","1979","AUSTRÀLIA","0","0","0","7"
"93","Reservoir Dogs","Quentin Tarantino","1992","USA","0","0","0","7"
"94","The Bubble","Judd Apatow","2022","USA","0","0","1","7"
"95","Conan The Barbarian","John Milius","1982","USA","0","0","0","7"
"96","Apocalypto","Mel Gibson","2006","MAYAS","0","0","0","7"
"97","Romeo + Juliet","Baz Luhrmann","1996","USA","0","0","0","7"
"98","Romeo And Juliet","Franco Zeffirelli","1968","UK","0","0","0","7"
"99","Rushmore","Wes Anderson","1998","USA","0","0","0","8"
"100","The Royal Tenenbaums","Wes Anderson","2001","USA","0","0","0","8"
"101","The Grand Budapest Hotel","Wes Anderson","2014","USA","0","0","0","8"
"102","Crash","David Cronenberg","1996","USA","0","0","0","7"
"103","Easy Rider","Dennis Hopper","1969","USA","0","0","0","8"
"104","Superbad","Greg Mottola","2007","USA","0","0","1","9"
"105","Yesterday","Danny Boyle","2019","UK","0","0","0","8"
"106","The Naked Gun","David Zucker","1988","USA","0","0","1","10"
"107","28 Days Later","Danny Boyle","2002","UK","0","0","0","7"
"108","28 Weeks Later","Juan Carlos Fresnadillo","2017","UK","0","0","0","7"
"109","Pat Garrett And Billy The Kid","Sam Peckinpah","1973","USA","0","0","0","8"
"110","The Sting","George Roy Hill","1973","USA","0","0","0","7"
"111","Valhalla Rising","Nicolas Winding Refn","2009","USA","0","0","0","8"
"112","Aguirre, Der Zorn Gottes","Werner Herzog","1972","ALEMANYA","0","0","0","7"
"113","Fitzcarraldo","Werner Herzog","1982","ALEMANYA","0","0","0","7"
